2023-09-15T16:18:02.900Z [info]:  DELETE {"id":1,"name":"name2","quantity":10,"price":5,"purchased":false}
2023-09-15T17:03:17.066Z [info]:  ADD {"name":"milk","quantity":1,"price":2.99,"purchased":false,"id":3}
2023-09-15T17:58:20.784Z [info]:  ADD {"name":"test","quantity":10,"price":5,"purchased":false,"id":3}
2023-09-15T17:58:59.841Z [info]:  ADD {"name":"test","quantity":10,"price":5,"purchased":false,"id":4}
2023-09-15T18:00:27.401Z [info]:  ADD {"name":"test","quantity":10,"price":5,"purchased":false,"id":5}
2023-09-15T18:00:27.404Z [info]:  UPDATE {"id":1,"name":"test","quantity":10,"price":5,"purchased":false}
2023-09-15T18:01:10.600Z [info]:  ADD {"name":"test","quantity":10,"price":5,"purchased":false,"id":6}
2023-09-15T18:01:10.602Z [info]:  UPDATE {"id":1,"name":"test","quantity":10,"price":5,"purchased":false}
2023-09-15T18:03:24.588Z [info]:  ADD {"name":"test","quantity":10,"price":5,"purchased":false,"id":7}
2023-09-15T18:03:24.591Z [info]:  UPDATE {"id":1,"name":"test","quantity":10,"price":5,"purchased":false}
2023-09-15T18:03:24.593Z [info]:  DELETE {"id":1,"name":"test","quantity":10,"price":5,"purchased":false}
2023-09-15T18:08:36.861Z [info]:  ADD {"name":"test","quantity":10,"price":5,"purchased":false,"id":7}
2023-09-15T18:08:36.863Z [info]:  UPDATE {"id":1,"name":"test","quantity":10,"price":5,"purchased":false}
2023-09-15T18:08:36.865Z [info]:  DELETE {"id":1,"name":"test","quantity":10,"price":5,"purchased":false}
2023-09-15T18:11:15.693Z [info]:  ADD {"name":"test","quantity":10,"price":5,"purchased":false,"id":7}
2023-09-15T18:11:15.695Z [info]:  UPDATE {"id":1,"name":"test","quantity":10,"price":5,"purchased":false}
2023-09-15T18:11:15.697Z [info]:  DELETE {"id":1,"name":"test","quantity":10,"price":5,"purchased":false}
2023-09-15T18:12:36.484Z [info]:  ADD {"name":"test","quantity":10,"price":5,"purchased":false,"id":7}
2023-09-15T18:12:36.487Z [info]:  UPDATE {"id":1,"name":"test","quantity":10,"price":5,"purchased":false}
2023-09-15T18:12:36.490Z [info]:  DELETE {"id":1,"name":"test","quantity":10,"price":5,"purchased":false}
2023-09-15T18:21:29.350Z [info]:  ADD {"name":"test","quantity":10,"price":5,"purchased":false,"id":7}
2023-09-15T18:21:29.351Z [info]:  ADD {"name":"test","quantity":10,"price":5,"purchased":false,"id":8}
2023-09-15T18:21:29.353Z [info]:  UPDATE {"id":1,"name":"test","quantity":10,"price":5,"purchased":false}
2023-09-15T18:21:29.356Z [info]:  UPDATE {"id":1,"name":"test","quantity":10,"price":5,"purchased":false}
2023-09-15T18:21:29.358Z [info]:  DELETE {"id":1,"name":"test","quantity":10,"price":5,"purchased":false}
2023-09-15T18:21:29.360Z [error]:  DELETE ID not found null
2023-09-15T18:22:04.071Z [info]:  ADD {"name":"test","quantity":10,"price":5,"purchased":false,"id":8}
2023-09-15T18:22:04.075Z [info]:  ADD {"name":"test","quantity":10,"price":5,"purchased":false,"id":9}
2023-09-15T18:22:04.077Z [info]:  UPDATE {"id":1,"name":"test","quantity":10,"price":5,"purchased":false}
2023-09-15T18:22:04.079Z [info]:  UPDATE {"id":1,"name":"test","quantity":10,"price":5,"purchased":false}
2023-09-15T18:22:04.081Z [info]:  DELETE {"id":1,"name":"test","quantity":10,"price":5,"purchased":false}
2023-09-15T18:22:04.083Z [info]:  DELETE {"name":"test","quantity":10,"price":5,"purchased":false,"id":7}
